	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985717548061782016	2018-04-16 03:12:31	Chandler	Eu seria uma pessoa 101% mais feliz se o bradesco mandasse meu cartão ao invés de me fazer busca-lo.	0	0		184	98
985715461898883075	2018-04-16 03:04:14	Thiago Matheus	"RT @PortalTrendsTop: #AJUDE 

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPANÇA: 1001166-3
BANCO: BRADESCO
CPF: 128…"	3	0		214	412
985714858615361536	2018-04-16 03:01:50	José Junior	RT @Leo_ag11: Bradesco podia participar  da jesc né baa	2	0		179	104
985714807176298497	2018-04-16 03:01:38	Thiago Claudino	"RT @palmeriodoria: ""Mas se nada for feito para estancar a sangria causada pelos bancos Itáu, Bradesco, Santander e Safra, outra solução não…"	166	0		940	830
985714520743178240	2018-04-16 03:00:30	Dyonathan ?	Um bradesco bem em frente a favela é viaje	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1CC3D2B0>, id='0e6870f8d60ebf34', url='https://api.twitter.com/1.1/geo/id/0e6870f8d60ebf34.json', place_type='city', name='Passo Fundo', full_name='Passo Fundo, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1CC3D2B0>, type='Polygon', coordinates=[[[-52.6757487, -28.405638], [-52.2127061, -28.405638], [-52.2127061, -28.1200372], [-52.6757487, -28.1200372]]]), attributes={})	2167	1473
985714506633490432	2018-04-16 03:00:26	C. Fioreze	RT @sidneyrezende: O Bradesco obteve lucro líquido ajustado de R$ 4,862 bilhões no quarto trimestre de 2017(isto vai até o fim de fevereiro…	12	0		2305	2057
985714012481564672	2018-04-16 02:58:28	Walter Lacerda	"RT @frjunioradv: Retweeted Palmério Dória (@palmeriodoria):

""Mas se nada for feito para estancar a sangria causada pelos bancos Itáu, Brad…"	5	0		4587	4854
985712146951655425	2018-04-16 02:51:04	Roberto	"RT @palmeriodoria: ""Mas se nada for feito para estancar a sangria causada pelos bancos Itáu, Bradesco, Santander e Safra, outra solução não…"	166	0		928	1096
985712109181906944	2018-04-16 02:50:55	Jaqueline Frizon	O banco @Bradesco tem de longe o pior atendimento. Seja pelo telefone, pelas porcarias de aplicativos. Cancelando minhas contas amanhã cedo!	0	1		386	214
985710575832485890	2018-04-16 02:44:49	Rafa Carvalho 1909 ??	Exames, xerox e ir no Bradesco! ??	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1CC3D2B0>, id='ffbca1b16b50edbb', url='https://api.twitter.com/1.1/geo/id/ffbca1b16b50edbb.json', place_type='city', name='Cachoeirinha', full_name='Cachoeirinha, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1CC3D2B0>, type='Polygon', coordinates=[[[-51.1273815, -29.9723825], [-51.0630193, -29.9723825], [-51.0630193, -29.8651911], [-51.1273815, -29.8651911]]]), attributes={})	121	206
985710403333382145	2018-04-16 02:44:08	Marley	@magalii_clara em jacaraipe vendia perto do  bradesco	0	0		151	445
985708807983640576	2018-04-16 02:37:48	colomboatenta.com.br	RT @sidneyrezende: O Bradesco obteve lucro líquido ajustado de R$ 4,862 bilhões no quarto trimestre de 2017(isto vai até o fim de fevereiro…	12	0		121	230
985708647861948417	2018-04-16 02:37:09	lisa	"RT @palmeriodoria: ""Mas se nada for feito para estancar a sangria causada pelos bancos Itáu, Bradesco, Santander e Safra, outra solução não…"	166	0		23	69
985707955420004352	2018-04-16 02:34:24	Lauro henrique	@ffcgarcia é o que??? bradesco???	0	0		846	524
985707251452301314	2018-04-16 02:31:36	Melifer	Onde trabalhas? — Bradesco https://t.co/kE6hd7pZdl	0	2		1589	1196
985706884396126213	2018-04-16 02:30:09	Lucas Schilipack	"RT @PortalTrendsTop: #AJUDE 

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPANÇA: 1001166-3
BANCO: BRADESCO
CPF: 128…"	3	0		162	301
985706881577574400	2018-04-16 02:30:08	Franz Lima	RT @NoSet7: LEO JAIME E LEONI - NoSet conferido a Grande Performance desses dois artistas que são mestres em produzir grandes Hits. Teatro…	1	0		710	724
985706849705123840	2018-04-16 02:30:01	carorlina	Alguém sabe me informar se o Bradesco que tem no enxuto tem gerente ?	0	0		743	242
