	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985179027399946240	2018-04-14 15:32:38	carlos Geovani	"Eu nao sou o banco Itaú..mais fui feito pra vc
#SabadoDetremuraSDV"	0	0		2633	2659
985178924480172032	2018-04-14 15:32:13	Bárbara Fogaça Gomes	"Oi, tudo bem? 
Eu sou a nova operadora do Itaú ?"	0	0		29	73
985178801754836992	2018-04-14 15:31:44	Leonardo T. Neves	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AF6bYVvysW https://t.co/me1ppNTSU9	27	0		165	17
985178741721698307	2018-04-14 15:31:30	Hamilton Ribeiro	RT @JornalGGN: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AEYYLMCTFK https://t.co/UUEVDPJw97	3	0		2686	4999
985178575883075585	2018-04-14 15:30:50	JoséMadeira	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AF6bYVvysW https://t.co/me1ppNTSU9	27	0		335	1400
985178383951761409	2018-04-14 15:30:05	Lili - EU SOU LULA ????????	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AF6bYVvysW https://t.co/me1ppNTSU9	27	0		1048	483
985178382278250498	2018-04-14 15:30:04	sylvio jose ferreira	"VOU ACELERAR E FAZER TODOS O INVISTIMENTOS SEGUROS NO ""ITAU,BRADESCO PRIME E SANTANDER"" ABRIR MAS INIVESTIMENTOS NA… https://t.co/0l3OLRjAo7"	0	0		782	4996
985178229236314112	2018-04-14 15:29:28	Bento Junior	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AF6bYVvysW https://t.co/me1ppNTSU9	27	0		137	328
985178162354061312	2018-04-14 15:29:12	VAGAS.com.br	Vagas p/ CAIXA - Itaú Unibanco - Aracaju/SE - https://t.co/JZXaQW9IAm	0	0		8405	50
985178151880986626	2018-04-14 15:29:09	jão	Porra @itau, libera minha conta logo	0	0		522	278
985178016887246848	2018-04-14 15:28:37	LuckVilla	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AF6bYVvysW https://t.co/me1ppNTSU9	27	0		2228	2244
985178007315927040	2018-04-14 15:28:35	Ubaldo Barbosa	Cada dia fica mais claro o papel deste sujeito... Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/eO9OFv5yKm	0	0		2193	2127
985177978740117504	2018-04-14 15:28:28	Maira Cantero	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AF6bYVvysW https://t.co/me1ppNTSU9	27	0		427	342
985177922096025600	2018-04-14 15:28:15	VAGAS.com.br	Vagas p/ ESTAGIÁRIO AG OP 6H - Itaú Unibanco - Brasília/DF - https://t.co/wnudDc7MjW	0	0		6348	49
985177890730971136	2018-04-14 15:28:07	Ubaldo Barbosa	Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/VrkVNcdRvH	0	0		2193	2127
985177827715796992	2018-04-14 15:27:52	Galo Vasco Lula da Silva	"Correção: Itaú-Unibanco.
O Itaú-Unibanco tem uma cátedra na PUC-Rio!
Pagam o salário de um professor que defenda as… https://t.co/eyD3qeL28s"	0	1		1402	1958
985177692516515842	2018-04-14 15:27:20	EU SOU LULA	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AF6bYVvysW https://t.co/me1ppNTSU9	27	0		5717	4450
