	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984926102983512066	BancoInter	2018-04-13 22:47:36	SNAP: gabifmachado1	"@Bancointer lançando IPO na B3 prometendo arrecadar mais de R$ 700 milhões e ainda com interessados em pelo menos R$ 200 mi em ações.
Parabéns @Bancointer, você são demais, merecem!"	0	0		72	391
984925984066555904	BancoInter	2018-04-13 22:47:08	MONALISA DUFFRAYER	@Bancointer Brigaduuuuu, @Bancointer melhor de todos	0	1		94	274
984924710176743424	BancoInter	2018-04-13 22:42:04	ñ	"@Bancointer Já voltou, tive de reiniciar o app umas 3x, mas agora está ok.
Acho que foi problema geral, pois, no site apesar de conseguir concluir, a transferência não foi efetuada."	0	0		11	102
984924477782978560	BancoInter	2018-04-13 22:41:09	Junior Gomes	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	48	0		6	54
984924443930710018	BancoInter	2018-04-13 22:41:01	Banco Inter	@andspfc Ei, boa noite! Está tudo certo? Podemos te ajudar de alguma forma?	0	1		115265	3193
984923994288738306	BancoInter	2018-04-13 22:39:13	Renan Farias	"@Bancointer Ahhh :/ 
Okay, aguardarei até 2020 XD
Contando os segundos para por as mãos no laranjinha."	0	0		172	846
984923567111499776	BancoInter	2018-04-13 22:37:32	Banco Inter	@samukamarinhobh Enviamos uma mensagem para você por DM, Samuel! Dê uma olhadinha :)	0	0		115265	3193
984923301595230209	BancoInter	2018-04-13 22:36:28	Banco Inter	@cividinous @lilraffbro Agradecemos pela indicação e preferência! #contacomagente sempre que precisar :) https://t.co/PeGfd0ef8O	0	1		115265	3193
984921172339982336	BancoInter	2018-04-13 22:28:01	Bruno Behnken	@wetius @Bancointer Mas assim, se for conta salário vc tem direito a um doc gratuito. Vc pode transferir todo o seu dinheiro pro Inter se quiser	0	0		219	194
984921014047068161	BancoInter	2018-04-13 22:27:23	Bruno Behnken	@wetius @Bancointer Ai, meu Deus, Banco do Brasil é horrível, pior banco que eu já tive conta. Boa sorte, amiga	0	0		219	194
984920977678225413	BancoInter	2018-04-13 22:27:14	Lucineia Meireles	@Bancointer Já estou nessa há muito tempo.?	0	1		9	20
984920746379104256	BancoInter	2018-04-13 22:26:19	Amanda	@Bancointer @Bancointer mas uma dúvida, quanto tempo p cartão chegar aqui?	0	0		214	201
