	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986545383009587200	banco do brasil	2018-04-18 10:02:03	bia	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		2974	588
986542878599057408	banco do brasil	2018-04-18 09:52:05	Dih Renault SDV  ?? #BBB18	RT @robe_sampaio: Conta poupança, Banco do Brasil, 14.225-5, agência 1834-1, Luciana Almeida Sampaio	93	0		3865	4981
986541687571996673	banco do brasil	2018-04-18 09:47:22	Damasio Santos	"RT @cursodamasio: Você viu? O edital para Escriturário do Banco do Brasil foi publicado!
Elaboramos um curso específico e online com aulas…"	5	0		3373	240
986541275452231682	banco do brasil	2018-04-18 09:45:43	Rafael Naibo Campos	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		18	58
986538554246516736	banco do brasil	2018-04-18 09:34:54	jorge góes	RT @berocorreia: O Cruzeiro do Sul foi aquele banco da família do vice de Zé Serra, em 2010, Índio da Costa, que que deixou um rombo de R$…	11	0		235	213
986536615530188800	banco do brasil	2018-04-18 09:27:12	ana rocha	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		182	143
986531075538280449	banco do brasil	2018-04-18 09:05:11	Emoticons Japoneses	@evelling Eu não posso falar nada, levei anos pra me atentar que o logo do Banco do Brasil são duas letras B cruzadas	0	0		593	2290
986530872600952838	banco do brasil	2018-04-18 09:04:23	natália	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		455	298
986530789281222656	banco do brasil	2018-04-18 09:04:03	mands AM6 IS COMING	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		6116	4931
986528478857220096	banco do brasil	2018-04-18 08:54:52	Lucia Castro	RT @berocorreia: O Cruzeiro do Sul foi aquele banco da família do vice de Zé Serra, em 2010, Índio da Costa, que que deixou um rombo de R$…	11	0		525	710
