	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985669309497315328	2018-04-16 00:00:50	#AntonioGramsci	RT @sidneyrezende: O Itaú é um dos patrocinadores da cobertura esportiva da Copa do Mundo. E conta com a presença de Luciano Huck como garo…	69	0		1359	408
985669133382619141	2018-04-16 00:00:08	Walter Lacerda	"RT @geraldoazevedof: A corrupção do @itau COMPROU sentença do Ministro do @STF_oficial  ...

@romerojuca estava certíssimo  ... com o stf e…"	4	0		4587	4855
985669042517180416	2018-04-15 23:59:47	Nome não pode ficar em branco	"RT @Daniphiloss: Resuma o governo Temer em uma frase:

""Tira dinheiro de pobre do Bolsa Família para perdoar dívida do Itaú, Bradesco, Sant…"	2	0		4879	2673
985668800505892870	2018-04-15 23:58:49	valeria fonseca	RT @sidneyrezende: O Itaú é um dos patrocinadores da cobertura esportiva da Copa do Mundo. E conta com a presença de Luciano Huck como garo…	69	0		109	287
985668526311604224	2018-04-15 23:57:44	#EU SOU LULA!!!!	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	121	0		269	310
985668484158943232	2018-04-15 23:57:34	Claudomiro Sales	"RT @palmeriodoria: ""Mas se nada for feito para estancar a sangria causada pelos bancos Itáu, Bradesco, Santander e Safra, outra solução não…"	137	0		70	211
985668391498342402	2018-04-15 23:57:12	Glaucio	@William_Castro Foi pro ralo Itaú, vivo, sky. A série b tem mais patrocínio	0	1		133	188
985668367347519493	2018-04-15 23:57:06	Rogerio Jacob	"RT @palmeriodoria: ""Mas se nada for feito para estancar a sangria causada pelos bancos Itáu, Bradesco, Santander e Safra, outra solução não…"	137	0		150	57
985668348762640384	2018-04-15 23:57:01	GeraldoAzevedo #LulaLivre	"A corrupção do @itau COMPROU sentença do Ministro do @STF_oficial  ...

@romerojuca estava certíssimo  ... com o st… https://t.co/zXMsyaIpbX"	4	4	Place(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, id='8ae44149327f741a', url='https://api.twitter.com/1.1/geo/id/8ae44149327f741a.json', place_type='city', name='Cachoeiro de Itapemirim', full_name='Cachoeiro de Itapemirim, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, type='Polygon', coordinates=[[[-41.3893706, -20.9732273], [-41.0040182, -20.9732273], [-41.0040182, -20.6064062], [-41.3893706, -20.6064062]]]), attributes={})	14851	14667
985668287215362048	2018-04-15 23:56:47	Senju	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	121	0		154	206
