	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984723459887566848	nubank	2018-04-13 09:22:22	Nubank	@vitorcugler continue usando seu roxinho como cartão principal e pagando sempre em dia, logo logo o aumento vem Vi! Estamos torcendo por aqui.	0	3		104760	7063
984721511604019200	nubank	2018-04-13 09:14:38	Nubank	@jrrsjunior Ainda não José! Quando tivermos novidade sobre esse assunto vamos avisar todo mundo &lt;3	0	1		104760	7063
984721385791606784	nubank	2018-04-13 09:14:08	Nubank	@Bielflu tomara que esse amor só cresça, Gabriel! ? https://t.co/XNfv7maMsb	0	1		104760	7063
984721116026548224	nubank	2018-04-13 09:13:03	Nubank	@felipe_sun Aee Fe! Valeu pelo carinho e pelo elogio ? https://t.co/uTiCtvpS7v	0	2		104760	7063
984720774182375424	nubank	2018-04-13 09:11:42	Nubank	@caioedut Seu maravilhoso! ? https://t.co/sJJ5YjVU3I	0	1		104760	7063
984720591910588416	nubank	2018-04-13 09:10:58	Nubank	@himjeonjk Alícia, nós estamos aqui torcendo muiiito pra vc ter um cartão em breve &lt;3	0	0		104760	7063
984715259133952000	nubank	2018-04-13 08:49:47	Vanessa Silveira	@nubank Aaaaaaaaa q amor ????	0	1		80	424
984713938532257792	nubank	2018-04-13 08:44:32	Leonardo	@nubank Saudades do tempo em que o desconto de antecipação de parcela girava em torno de 8, 10% ao ano... Quando volta? 4,5% é muito pouco! Se torna mais vantajoso deixar rendendo na NuConta ?	0	0		157	68
984711659695591425	nubank	2018-04-13 08:35:29	José Otávio Costa	@GuilhermeMigli @nubank Mas o meu aumentinho de limite, nada........	0	1		28	172
984704808899657728	nubank	2018-04-13 08:08:16	Lucas	Gostei de um vídeo @YouTube https://t.co/qbxNdG82g6ça o Cartão Virtual Nubank	0	0		168	762
984704337199943680	nubank	2018-04-13 08:06:23	Luan Alves	@BancoOriginal abra seus olhos para milhoes de brasileiros que estariam interessados em possuir um cartão de crédito, mas alguns impedimentos são barreiras para isto, eu acabei de sugerir ao @nubank uma modalidade de crédito baseado em calção pegue esse gancho e seja original.	0	0		320	139
984701346690600960	nubank	2018-04-13 07:54:30	Luan Alves	"@nubank existem milhões de pessoas que estão negativados mas que fariam este investimento para possuir uma linha de crédito. Olhar para um público esquecidos além de visibilidade a marca mostra com quem ela pode contar no seu pior momento.
Eu mesmo queria ser o primeiro a fazer."	0	0		320	139
984700715196207104	nubank	2018-04-13 07:52:00	Luan Alves	"@nubank ter um cartão de crédito atrelado ao título de capitalização o dinheiro rende (TR) a pessoa ainda concorreria a algum prêmio pela loteria federal e ainda teria seu cartão. 
Ex: 1000 de depósito limite de 1500 para os negativados e ainda teria o sorteios pela loteria."	0	0		320	139
984699809255903233	nubank	2018-04-13 07:48:24	Luan Alves	@nubank estou ancioso pela notícia de quando vcs irão liberar o nubank calção. Ter o nome negativado não significa que vc não possa ter um cartão de crédito ou muito menos dinheiro, saia na frente da concorrência nubank. Nos EUA muitos banco utilizam desta prática.	0	0		320	139
984697402866257920	nubank	2018-04-13 07:38:50	ble	A @nubank perdeu uma oportunidade de eu comprar pq não quer aumentar mais meu limite	0	2		356	454
984688532374609922	nubank	2018-04-13 07:03:35	?	Nubank confirma meu pagamento pela mor de deus.	0	1		146	156
984686478759514113	nubank	2018-04-13 06:55:25	aline	queria muito que o nubank liberasse meu limite pra eu ver spn	0	0		338	497
984682282370904064	nubank	2018-04-13 06:38:45	Joel Ferraz	@nubank Comprei Samsung só pelo Samsung Pay mas descobri q nu n funciona. Tô curioso do motivo. Tem custo para vcs?	0	0		4	17
984668491713335296	nubank	2018-04-13 05:43:57	bruna ?	mano o dia q o nubank me mandar autorização pra fazer o cartão deles eu vou ser a pessoa mais feliz do mundo	0	0		11884	11983
984667818116329472	nubank	2018-04-13 05:41:16	Paulo César Ribeiro	Gostei de um vídeo @YouTube https://t.co/jqugRzBapb AUMENTEI MEU LIMITE DO NUBANK	0	0		23	23
984666463545053184	nubank	2018-04-13 05:35:53	Luiz C. Eudes Corrêa	@iAmFabioLacerda @ApplePayBR @nubank É uma enquete nativa do Twitter, mas as opções pra votar só aparecem no maldito cliente oficial ou abrindo o link do Tweet no Safari ??	0	1		787	2204
984665829194289153	nubank	2018-04-13 05:33:22	Luiz C. Eudes Corrêa	Se o nubank te pedisse para escolher entre #NuConta e #ApplePay, qual seria a sua escolha?	0	0		787	2204
984664907596607489	nubank	2018-04-13 05:29:42	juniao, o mago	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		494	538
984664844292026368	nubank	2018-04-13 05:29:27	Fabio Lacerda Vale	@ApplePayBR @nubank #ApplePay sem dúvidas!!!	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='32cebe670738f9bf', url='https://api.twitter.com/1.1/geo/id/32cebe670738f9bf.json', place_type='neighborhood', name='Subsetor Sul 2', full_name='Subsetor Sul 2, Ribeirão Preto', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-47.8100504, -21.2031642], [-47.797475, -21.2031642], [-47.797475, -21.188477], [-47.8100504, -21.188477]]]), attributes={})	28	111
984663909255798785	nubank	2018-04-13 05:25:44	Fabrício Simões	E eu que esqueci completamente que tenho o cartão virtual do Nubank. E adivinhem onde mais faço compras? Isso mesmo! Online!	0	0		259	189
984661796039614464	nubank	2018-04-13 05:17:20	Jailão	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		348	260
984661547845849090	nubank	2018-04-13 05:16:21	Sandra Perez	RT @ApplePayBR: Se o @nubank te pedisse para escolher entre #NuConta e #ApplePay, qual seria a sua escolha?	9	0		12	63
984661518619901952	nubank	2018-04-13 05:16:14	Bicho da Maçã	RT @ApplePayBR: Se o @nubank te pedisse para escolher entre #NuConta e #ApplePay, qual seria a sua escolha?	9	0		114	757
984661505936384001	nubank	2018-04-13 05:16:11	Luiz C. Eudes Corrêa	RT @ApplePayBR: Se o @nubank te pedisse para escolher entre #NuConta e #ApplePay, qual seria a sua escolha?	9	0		787	2204
984661340223672321	nubank	2018-04-13 05:15:32	Apple Pay Brazil	Se o @nubank te pedisse para escolher entre #NuConta e #ApplePay, qual seria a sua escolha?	9	14		524	72
984660203433021440	nubank	2018-04-13 05:11:01	Abeel O. ???????	Um sonho: @nubank + @ApplePayBR	0	2		240	523
984659167490248704	nubank	2018-04-13 05:06:54	José Roberto	@nubank já liberou Nubank no Apple Pay?	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='1d02cffb95f762c0', url='https://api.twitter.com/1.1/geo/id/1d02cffb95f762c0.json', place_type='city', name='Guarujá', full_name='Guarujá, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.325637, -24.053566], [-46.125785, -24.053566], [-46.125785, -23.856067], [-46.325637, -23.856067]]]), attributes={})	143	221
984658612340645888	nubank	2018-04-13 05:04:41	Jess	Ja posso gastar, né? Minha fatura do nubank deu um total de 0,00 reais ???? https://t.co/KxHxPhUJQj	0	1		577	203
984657818899894272	nubank	2018-04-13 05:01:32	sara	mano nubank nunca me aceita, eu tenho o nome limpo pago minhas coisas em dia só queria um cartao de credito poxa	0	1		3056	979
984655600733839360	nubank	2018-04-13 04:52:43	G A B R I E L	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		2081	1654
