	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984255836980727808	2018-04-12 02:24:12	José das Chagas	Sou de Belém ag7162 cc 0019588-2 josé das Chagas, posso publicar os comprovantes aqui? ou gostariam de receber por e-mail? @itau	0	0		207	669
984255815300378624	2018-04-12 02:24:07	Robin Gonzales	RT @gpmarcosgoiano: Garoto de Programa / Acompanhante / Ator pornô . Sou de SP e estou em Curta Temporada no RJ. Com local na R Sousa Lima…	630	0		207	505
984255756542332928	2018-04-12 02:23:53	narizinho	Me chama de Itaú pq eu fui feito pra você bb	0	0		105	94
984255710526689280	2018-04-12 02:23:42	Jules Vallès Lula da Silva	"RT @GuilhermeBoulos: Quando o Judiciário é generoso... De 160 milhões a 160 mil.
https://t.co/jVqjQC2D24"	127	0		11162	5995
984255563805708288	2018-04-12 02:23:07	Paulinho	"RT @PartidoPirataBR: Duas notícias frescas hoje do STJ:
-STJ tira Alckmin da rota da Lava Jato em São Paulo, vai pra Justiça Eleitoral
-STJ…"	25	0		431	454
984255463473795072	2018-04-12 02:22:43	roberto carlos rocha	"RT @DilmaResiste: #EusouLula

STJ que mandou Lula para prisão, que salvou tucanos no escândalo dos trens de SP, agora perdoa dívida milioná…"	205	0		1351	1970
984255455756242948	2018-04-12 02:22:41	Enock	Pra você que é ruim de conta isso é mil vezes menos, é equivalente a um desconto de 99,9 %, percentualmente falando… https://t.co/41P0ME64kG	0	0		111	194
984255374512590849	2018-04-12 02:22:22	Marcelo	@joaoamoedonovo Joaozinho SOROS ITAU amoedo	0	1		126	404
984255352962256897	2018-04-12 02:22:17	Duo Lipe	@kimstarjin GURIAAAA ontem me perguntaram se fiz o comercial do Itaú hahaha mas nossa é muito de cabelo curto	0	0		858	112
984255294401404928	2018-04-12 02:22:03	?? TavaresLucena ??	@entidadefenix @Condefabi @AriSirius @Murillo_1914 @ventosuli6 @gloriaspadetti @cleberpv @uli_cassilva… https://t.co/vBtjviHrcX	0	0		179	374
