	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986643767611535360	BancoInter	2018-04-18 16:32:59	Romero Junior	@SPFCBancoInter @EvertonCardoso @Bancointer tava na hora de vcs nos dar um presente né. Da o @hernanes de presente p nos são paulinos. Concerteza vcs ia ganhar bastante também.	0	0		3052	3706
986637435542130688	BancoInter	2018-04-18 16:07:50	juliano souza	"RT @jvitormenin: Presidente do @Bancointer, idealizador da primeira conta 100% digital e gratuita do Brasil.
Acompanhe."	44	0		3	90
986637195606937607	BancoInter	2018-04-18 16:06:52	JOÃO PAULO	"RT @jvitormenin: Presidente do @Bancointer, idealizador da primeira conta 100% digital e gratuita do Brasil.
Acompanhe."	44	0		1804	4216
986636367760379904	BancoInter	2018-04-18 16:03:35	Willian Cardoso	@Bancointer @SPFCBancoInter Ok. Vou chamar. Uma semana que fiz a solicitação.	0	0		435	608
986635190507360256	BancoInter	2018-04-18 15:58:54	Jen	@Bancointer olá boa tarde, poderia me instruir para conseguir ver sobre o seguros de celular? recebi uma proposta de vcs por e-mail mais no app não achei seguros de celular só de carros casa e cartão ??	0	0		972	766
986632910659899392	BancoInter	2018-04-18 15:49:51	Tetrapharmaco?	@Bancointer  Por que o deposito por boleto demora tanto pra cair na minha conta???	0	0		40	479
986630359956717570	BancoInter	2018-04-18 15:39:43	sioncone ferraz 	@Bancointer @danielperrone Cadê o meu kit?	0	0		16	74
986630267162054657	BancoInter	2018-04-18 15:39:21	sioncone ferraz 	@danielperrone @Bancointer Cadê nomeou kit?	0	0		16	74
986629930682286082	BancoInter	2018-04-18 15:38:00	Felipe Viero Goulart (a.k.a felipestoker)	E aí @Bancointer eu não aguento mais assinar cinco vezes no papel! Aquela é a minha assinatura, eu não consigo assinar 100% igual sempre =/	0	0		7224	551
986629769763741696	BancoInter	2018-04-18 15:37:22	Rafael Machado	Querido @Bancointer quais são os modelos de cartões que vocês têm?	0	0		31	19
986629479769485313	BancoInter	2018-04-18 15:36:13	Johnny	@Bancointer melhor banco do ??	0	0		4645	2635
986628470250885123	BancoInter	2018-04-18 15:32:12	Erick Giacomazza	@meunomeepedro @Bancointer Boa sorte cara	0	0		62	173
986628385454657536	BancoInter	2018-04-18 15:31:52	Guilherme Maiorano	@danielperrone @Bancointer Se liga @Eusouocaiao	0	1		30	103
986628162271531008	BancoInter	2018-04-18 15:30:59	Erick Giacomazza	@meunomeepedro @Bancointer Não quero fazer propaganda, só estou relatando isso porque aconteceu o mesmo comigo, e hoje não me arrependo de ter esperado um pouco e poder usufruir dos serviços do Banco e de um cartão de crédito muito bacana, aliás, já até comprei um e levei outro no MasterCard Surpreenda kkk	0	0		62	173
986627724612657152	BancoInter	2018-04-18 15:29:14	Erick Giacomazza	@meunomeepedro @Bancointer Tem muitos novos correntistas, a demanda está bem alta, por isso demora pra atenderem às vezes, tem que ter paciência e compreensão	0	0		62	173
986627660712497152	BancoInter	2018-04-18 15:28:59	Ewerton Alves	@erciziolucas @Bancointer @SPFCBancoInter Queria o laranja também, mas ja tenho o do @SPFCBancoInter, e nao pode ter 2 :/ kkkkk	0	1		703	243
986627508148858880	BancoInter	2018-04-18 15:28:23	Erick Giacomazza	@meunomeepedro @Bancointer ....a situação dos Correios é caótica... E são 25 DIAS ÚTEIS, pra chegar o cartão, não 25 DIAS CORRIDOS. Em relação ai atendimento, é só você mandar uma Mensagem na DM aquu ou no Messenger, que eles sempre respondem, o atendimento está melhorando bastante...	0	0		62	173
986627074898219008	BancoInter	2018-04-18 15:26:39	Erick Giacomazza	@meunomeepedro @Bancointer Cara, o cartão leva tempo em razão de que a transportadora é meio demorada, e ele é emitido em MG, não é culpa do Banco Inter. Sem contar, que dependendo da sua localidade, a transportadora não entrega, então eles repassam para os Correios entregarem, e como se sabe, a situação..	0	0		62	173
986625968759627776	BancoInter	2018-04-18 15:22:16	Leonardo Amaral	"Saudades de ver essa torcida em noite de libertadores!
@SPFCBancoInter @ST_SPFC @spfc @Bancointer https://t.co/Bvp3BO8Iov"	0	19		14	41
986625813020860416	BancoInter	2018-04-18 15:21:39	Paulão Desmaio	@danielperrone @Bancointer Oloco	0	0		26	204
