	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986770762848718849	BancoInter	2018-04-19 00:57:37	Dii Oliveira	@Bancointer ainda pode assinar o Netflix no débito?	0	0		37	130
986770496351023104	BancoInter	2018-04-19 00:56:34	É muito herói bobo!	@KauryM @meudigio O @Bancointer e o @banconeon são bons e em 1 semana vc já ta com o cartão na mão.	0	0		305	896
986769813749067777	BancoInter	2018-04-19 00:53:51	Banco Inter	@marcocipolla Está ansioso para a ELIMINAÇÃO, Marco? Vale a pena continuar dando aquela ESPIADINHA ;) O resultado sairá amanhã ?	0	2		115287	3200
986768278608662528	BancoInter	2018-04-19 00:47:45	Lucas	Tomara que dessa vez o @Bancointer aceite o meu comprovante de residência	0	0		28	103
986767582664544256	BancoInter	2018-04-19 00:44:59	Banco Inter	@walker_wotm @gnrsep Poderia nos chamar por DM? Queremos nos apresentar para você! ?	0	0		115287	3200
986765963940061184	BancoInter	2018-04-19 00:38:33	Walker Marques ?	@Bancointer @gnrsep Pô @Bancointer me dá um cartão free anuidade e free taxa de TED que utilizo o serviço rsrs ?????	0	0		684	393
986765423059271680	BancoInter	2018-04-19 00:36:24	Marco Moro Cipolla	@Bancointer Esse pessoal do twitter do Inter não dorme. Vamos eliminar tarifas bancárias, já que a anuidade dos cartões está dentro delas, né ?	0	0		173	287
986765335465545730	BancoInter	2018-04-19 00:36:03	Dylan Léo	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		230	261
986764909999525889	BancoInter	2018-04-19 00:34:22	??? o? ???l s???? ou???	@Bancointer Nossa resp em menos de 5min parabéns social media ?????? por isso eu amo esse banco	0	2		415	304
986763382006087686	BancoInter	2018-04-19 00:28:18	Banco Inter	@eliassuzumura O que temos para te oferecer de melhor hoje é uma Conta Digital, 100% livre de tarifas! Seu banco pode ser diferente. Simples, digital e parceiro de verdade! #contacomagente ?	0	0		115287	3200
986762935224717314	BancoInter	2018-04-19 00:26:31	Adriel Hiago	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		45	245
986762813631860742	BancoInter	2018-04-19 00:26:02	Banco Inter	"@odimau Ei, Odimar! Agradecemos pela sugestão :)
Enquanto isso, você pode usar o Interpag em seu estabelecimento e solicitar domicílio bancário no Banco Inter diretamente para sua adquirente."	0	1		115287	3200
986760987155075074	BancoInter	2018-04-19 00:18:47	Vanessa	@Bancointer Esse mesmo o problema e a demora no atendimento .obrigada	0	0		4	20
986760667238731776	BancoInter	2018-04-19 00:17:30	.	@Bancointer triste porque meu cadastro para abertura de conta não foi aprovado ?	0	0		8	37
986760541191528448	BancoInter	2018-04-19 00:17:00	Rodrigo Sanches	Obrigado @Bancointer pelo excelente atendimento on-line para abertura da minha conta. Vocês realmente estão a frente dos demais bancos. Tudo simples, rápido e fácil. Recomendo a todos.	0	0		125	308
986760220889309184	BancoInter	2018-04-19 00:15:44	??? o? ???l s???? ou???	@Bancointer O que a gente pode fazer MELHOR por você hoje?	0	0		415	304
986759996095582219	BancoInter	2018-04-19 00:14:50	Banco Inter	"@walker_wotm @gnrsep Tarifas? Nunca nem vi! 
Dê uma olhada em nosso site: https://t.co/bQFiMH1MC9
Qualquer dúvida, estamos à disposição :)"	0	0		115287	3200
