	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986332278623219713	banco do brasil	2018-04-17 19:55:15	Mila	I'm at Banco do Brasil in Mesquita, Rio de Janeiro https://t.co/LqCMhKozqw	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, id='b1a5f3bbff698d24', url='https://api.twitter.com/1.1/geo/id/b1a5f3bbff698d24.json', place_type='city', name='Mesquita', full_name='Mesquita, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, type='Polygon', coordinates=[[[-43.496757, -22.840589], [-43.397015, -22.840589], [-43.397015, -22.764566], [-43.496757, -22.764566]]]), attributes={})	2065	619
986331105057009667	banco do brasil	2018-04-17 19:50:35	Hugo Feijo Filho	RT @Ary_AntiPT: Lembrando que a Joesley aparece emprestando R$ 3 milhões para o Operador de Dida Bendine do Banco do Brasil e o @MPF_PGR co…	25	0		1855	1983
986330808800735232	banco do brasil	2018-04-17 19:49:24	t	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		485	335
986330784469569536	banco do brasil	2018-04-17 19:49:18	Vitória	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		352	123
986330199422849029	banco do brasil	2018-04-17 19:46:59	Bispo João Monteiro	Doações para o projeto em andamento Banco do Brasil agência 1951 conta corrente 6692 dígito 3… https://t.co/jeBhXJZb87	0	0		450	1800
986330121496875008	banco do brasil	2018-04-17 19:46:40	Marcello M. Estevão	Com apoio do Brasil, a IDA, braço do Banco Mundial que apoia os 75 países mais pobres do mundo, lançou hoje sua primeira emissão de bônus na história, levantando US$ 1,5 bilhão para novos financiamentos para o desenvolvimento #IDAbonds @WorldBank https://t.co/EMadeu9Cdn	5	17		462	104
986329998125621248	banco do brasil	2018-04-17 19:46:11	querida marcus d	"Uma curiosidade:
O CNPJ do Banco do Brasil é 00.000.000/****-**"	0	0		1305	719
986329923840290821	banco do brasil	2018-04-17 19:45:53	Marcella	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		349	118
986329641270071296	banco do brasil	2018-04-17 19:44:46	Carolina	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		502	312
986329323673145349	banco do brasil	2018-04-17 19:43:30	Paulo Abreu	"Continua firme e forte a limpeza no Brasil, vai ser vizinho do molusco.
Via @estadao: Supremo torna Aécio Neves réu por corrupção passiva e obstrução de Justiça -  https://t.co/QqvfSMvI9h"	0	0		395	1801
