	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
367	986652127836753920	banco do brasil	2018-04-18 17:06:13	Ewerton Luiz Pedrão	Por favor, pior Banco do Brasil @itau , façam o favor de melhorarem o atendimento na rede de agências nem a Caixa econômica Federal demora tanto quanto vcs!	0.0	1.0		29.0	262.0	banco do brasil	itau	1
582	986586156304355328	banco do brasil	2018-04-18 12:44:04	Gabi do guaraná na perna	"@itau Eu sei que é possível, sempre fiz, mas de um tempo pra cá não rola. Aparece uma mensagem dizendo ""não foi possível realizar, tente novamente mais tarde"". Já tentei pro Banco do brasil e santander :("	0.0	0.0		8896.0	1588.0	banco do brasil	itau	1
857	986378763121451009	banco do brasil	2018-04-17 22:59:57	Douglas	@itau O Bradesco já tem, o banco do Brasil também e a Caixa... tem também o Santander, o Banrisul e o banco Inter.E até o banco Neon! Mas cliente Itaú não tem...	0.0	0.0		98.0	338.0	banco do brasil	itau	1
3046	985920482334728193	banco do brasil	2018-04-16 16:38:55	Adriano Huff	@itau o serviço de vocês e muito porco, queria fazer uma transferência pelo app para o banco do Brasil e vocês não dão a opção de por o digito da agência, e pelo que vi no reclame aqui essa merda já tem mais de 3 anos e vocês ainda não arrumaram, estão de parabéns	0.0	0.0		234.0	242.0	banco do brasil	itau	1
5053	985623159188656129	banco do brasil	2018-04-15 20:57:27	Felipp Lopes	@itau Mas o ti de vocês é pior do que o banco Neon, do banco inter, do banco do Brasil, caixa, Santander e Banrisul? Pois todos eles oferecem experiência de alta qualidade com esse serviço	0.0	0.0		203.0	657.0	banco do brasil	itau	1
9910	985317310964686848	banco do brasil	2018-04-15 00:42:07	FernandoDiCicco	@JuMagalhaesBH @itau Vc vai gostar. Hj o @itau é o melhor banco do Brasil.	0.0	0.0		6271.0	3762.0	banco do brasil	jumagalhaesbh itau itau	3
11868	986672118703239173	BancoInter	2018-04-18 18:25:39	Roberto Augusto	@gserrano @itau @Bancointer @iugu é, dei uma lida no modelo deles... (é a tal do concordato... mas tou torcendo pra que em breve aconteça alguma revolução nesse sentido, já que eu q vendo por meios físicos, é facilitado, mesmo com o chargeback)	0.0	0.0		834.0	822.0	BancoInter	gserrano itau bancointer iugu	4
11869	986671371370541056	BancoInter	2018-04-18 18:22:41	Roberto Augusto	@gserrano @itau @Bancointer @iugu relaxa, pq como pf não consegui me desamarrar do sistema formal de crédito :c ieeuheeuheuheuhe mas em breve quem sabe eu tire minha correntinha dos pés	0.0	0.0		834.0	822.0	BancoInter	gserrano itau bancointer iugu	4
11870	986671223424856074	BancoInter	2018-04-18 18:22:05	Roberto Augusto	@gserrano @itau @Bancointer @iugu eita. também gostei da proposta do neon. mas só teve uma coisa q fiquei com treta, (é que trabalho em excesso com ted, mas sempre vou ficar de olho nele já q se o inter virar o agibank e cobrar ted, terei alternativas uhehuhehue)	0.0	0.0		834.0	822.0	BancoInter	gserrano itau bancointer iugu	4
11871	986670893207310336	BancoInter	2018-04-18 18:20:47	María la del Barrio con supremo y con todo	"@dllbeto @itau @Bancointer Eu uso o Neon e o PJ lá tá me atendendo bem. Só mantenho conta no Itaú PJ por causa do @iugu, que só trabalha com ""bancos grandes"" pra eu receber por lá. Serviço bom, dependência bosta... hahaha"	0.0	1.0		1376.0	823.0	BancoInter	dllbeto itau bancointer iugu	4
11878	986666332107272193	BancoInter	2018-04-18 18:02:39	Roberto Augusto	"@gserrano @itau vou te passar o caminho da felicidade, mas a conta PJ depende da PF, mas aí ... é, vou te mandar o @ deles, aí vc decide se vai valer a pena essa ""mudança radical"" @Bancointer"	0.0	0.0		834.0	822.0	BancoInter	gserrano itau bancointer	3
12088	986357184467554304	BancoInter	2018-04-17 21:34:13	Alex Näzz?????????	@itau Aqui é @Bancointer meu filho!	0.0	0.0		174.0	363.0	BancoInter	itau bancointer	2
12682	986130190064635905	BancoInter	2018-04-17 06:32:13	Winderlly	@lnsdias @SamsungBrasil @SamsungPay @itau @Bancointer Olha aí @Bancointer já vai anotando e fazendo melhor que a concorrência.	0.0	2.0		956.0	868.0	BancoInter	lnsdias samsungbrasil samsungpay itau bancointer bancointer	6
12861	985974219606495240	BancoInter	2018-04-16 20:12:27	Leonardo Nicolas	@Winderlly @SamsungBrasil @SamsungPay @itau @Bancointer Só acho um pecado o @Bancointer não ter home broker para investidores arrojados. E o principal de tudo: eu acho um pecado o banco inter não ter financiamento de veículos. Para quem quer comprar um carro. Vamos torcer para o @Bancointer trazer esse recurso né! ?	0.0	1.0		82.0	271.0	BancoInter	winderlly samsungbrasil samsungpay itau bancointer bancointer bancointer	7
12865	985973156484669441	BancoInter	2018-04-16 20:08:13	Jorge Leite	RT @felipplopes: @itau Deve ter uns 3 anos que vcs estão enrolando pra colocar no Samsung pay, aí pra Apple já chega com exclusividade. Abr…	1.0	0.0		921.0	2317.0	BancoInter	felipplopes: itau	2
12867	985972997172416512	BancoInter	2018-04-16 20:07:35	Winderlly	@lnsdias @SamsungBrasil @SamsungPay @itau @Bancointer Eu também amo o @Bancointer principal em tudo.	0.0	2.0		956.0	868.0	BancoInter	lnsdias samsungbrasil samsungpay itau bancointer bancointer	6
12869	985972462994194432	BancoInter	2018-04-16 20:05:28	Leonardo Nicolas	@Winderlly @SamsungBrasil @SamsungPay @itau @Bancointer Eu sou cliente do banco inter. Mas INFELIZMENTE  minha familia e eu dependemos do Itaú para salário com ou sem portabilidade. Ou seja, estou totalmente fudido por causa desse monopólio. Aí eu transfiro para o inter para fazer movimentações. Eu amo muito o banco inter pra tudo.	0.0	2.0		82.0	271.0	BancoInter	winderlly samsungbrasil samsungpay itau bancointer	5
12873	985970643018637319	BancoInter	2018-04-16 19:58:14	Winderlly	@lnsdias @SamsungBrasil @SamsungPay @itau Faz portabilidade para o @Bancointer não vai se arrepender.	0.0	2.0		956.0	868.0	BancoInter	lnsdias samsungbrasil samsungpay itau bancointer	5
12913	985926234273173505	BancoInter	2018-04-16 17:01:46	Raposa de 9 caudas	Tenho conta no @Bradesco no @Bancointer no @santander_br e agora no  @itau só falta o @BancodoBrasil pra completar o clubinho!	0.0	0.0		76.0	166.0	BancoInter	bradesco bancointer santander_br itau bancodobrasil	5
13129	985516648387014657	BancoInter	2018-04-15 13:54:13	Felipp Lopes	@itau Deve ter uns 3 anos que vcs estão enrolando pra colocar no Samsung pay, aí pra Apple já chega com exclusividade. Abrindo agora uma conta no banco @Bancointer pra poder utilizar o serviço da Samsung	1.0	0.0		203.0	657.0	BancoInter	itau bancointer	2
13519	984858897927327744	BancoInter	2018-04-13 18:20:33	Felipe Bitencourt	@aeiouva @itau Muda pro @Bancointer 100% digital!	0.0	1.0		108.0	154.0	BancoInter	aeiouva itau bancointer	3
15208	984767739012239360	BancoInter	2018-04-13 12:18:19	Paulo Roberto	@Tiagocsilva96 @heitorzilla @meudigio @Bancointer @nubank @itau O Itaú tem 90 dias de exclusividade do Apple Pay. Então vai demorar para a NuBank liberar.	0.0	1.0		49.0	102.0	BancoInter	tiagocsilva96 heitorzilla meudigio bancointer nubank itau	6
15388	984518049016492032	BancoInter	2018-04-12 19:46:09	Gilberto Filho	@wiltonjohnson2 @itau Eles tão nesse papo desde ano passado. Eu já larguei mão e fiz conta no @Bancointer por causa disso. ?	0.0	0.0		204.0	183.0	BancoInter	wiltonjohnson2 itau bancointer	3
