	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
46807	983387156830998528	nubank	2018-04-09 16:52:23	André	@nubank Esses dias o @itau meteu uma anuidade que eu nunca contratei num cartão que nunca tive. Quase que evoquei o nome de @nubank para resolver a história.	0.0	0.0		3.0	34.0	nubank	nubank itau nubank	3
47052	983310372512903169	nubank	2018-04-09 11:47:16	Morgana vestido de Sonic	Socorro, @itau é muito arcaico, além de bloquear minha senha por um erro que não foi meu, me força a ir num caixa eletrônico pra desbloquear. 2018, quem quer ir em caixa eletrônico gente. Tem muito que aprender mesmo com Nubank.	0.0	0.0		271.0	659.0	nubank	itau	1
47141	986750838390640640	santander	2018-04-18 23:38:27	MatheusRabelo	RT @matfranceschi: @itau estou em duvida onde abrir minha conta, vocês são melhores que o @santander_br ?	1.0	0.0		1717.0	669.0	santander	matfranceschi: itau santander_br	3
47160	986743113019469824	santander	2018-04-18 23:07:45	Luiz C. Eudes Corrêa	@x86girl @itau Nunca recebi ligação do itaú no qual sou correntista (só aparece um banner quando acesso minha conta), mas o maldito @santander_br não para de me ligar e nem conta lá eu tenho.	0.0	0.0		787.0	2204.0	santander	x86girl itau santander_br	3
47400	986672438984527872	santander	2018-04-18 18:26:55	Mônica de Lavar	Em 8 meses no @santander_br, eu já pisei em uma agência umas 15 vezes. Em 2 anos de @itau eu resolvia tudo. TUDO. no celular. Por isso que meu sonho de princesa era trabalhar na comunicação institucional do Itaú.	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='97bcdfca1a2dca59', url='https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json', place_type='city', name='Rio de Janeiro', full_name='Rio de Janeiro, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]), attributes={})	171.0	215.0	santander	santander_br, itau	2
47633	986605118182146048	santander	2018-04-18 13:59:25	Claive Dias	@itau Estou só aguardando a finalização da migração para Personnalité que já fui informado para saber se fico ou saio do Itaú e ficarei somente com o Santander.	0.0	0.0		49.0	216.0	santander	itau	1
47634	986604958639419392	santander	2018-04-18 13:58:47	Claive Dias	@itau É a opinião de quem conhece bem o tratamento do Itaú para com seus clientes. Minha conta ainda não foi migrada e já fui informado que serei Personnalité. Estou só aguardando a finalização da migração para saber se fico ou saio do Itaú e ficarei somente com o Santander.	0.0	0.0		49.0	216.0	santander	itau	1
48147	986338632842833921	santander	2018-04-17 20:20:30	Marcel, não Marcelo	@pecesiqueira @santander_br @bancosantander Vem pro @itau, PC... Não vai se arrepender.	0.0	0.0		109.0	271.0	santander	pecesiqueira santander_br bancosantander itau	4
48177	986335186936885249	santander	2018-04-17 20:06:48	Guilherme Romero	Gostaria muito que o iOS parasse de me incomodar a 5 minutos dizendo que eu já posso configurar o meu Apple Pay, mesmo isso sendo mentira, já que só funciona pra cartões do @itau e eu sou correntista @santander_br	0.0	2.0		505.0	420.0	santander	itau santander_br	2
48279	986295390172602369	santander	2018-04-17 17:28:40	E.	@czarfaces @itau amiga a Santander me chama de Vinicius, já reclamei e nada de mudarem.	0.0	0.0		594.0	294.0	santander	czarfaces itau	2
48384	986273809627078656	santander	2018-04-17 16:02:54	marra girl ?	@eupedrocorreia @santander_br @itau nenhum dos dois presta mas Itaú ainda é menos pior	0.0	1.0		168.0	191.0	santander	eupedrocorreia santander_br itau	3
48621	986065801835892744	santander	2018-04-17 02:16:22	Cassemiro Luiz	RT @sindbancarios: SindBancários ingressou, na última semana, com ações coletivas contra os bancos @santander_br, @itau, @BancodoBrasil e B…	3.0	0.0		70.0	69.0	santander	sindbancarios: santander_br, itau, bancodobrasil	4
48661	986054797647405063	santander	2018-04-17 01:32:38	#NickiDay	Alô @santander_br bora agilizar essa entrega aí... desde outubro tentando pegar um cartão... complicado, falei tão bem de vocês... quase voltando pro @itau	0.0	2.0		409.0	418.0	santander	santander_br itau	2
48875	985982014905077760	santander	2018-04-16 20:43:25	david peixoto	1 hora e meia esperando cair uma ted. @itau e @santander_br tão de parabéns, viu?	0.0	0.0		412.0	396.0	santander	itau santander_br	2
49169	985923398416158727	santander	2018-04-16 16:50:30	tAbloide. VISTAS_	@Alcohol Birina cesari @Cuspido cordoba Destruiçao de PonTe senio Ciliho Corretora Cupido de almom 1 Destruiçao de PontE P i Tesoura de GavIao PalaCio @Itau @Imajeans Nespresso Arvore Carta Ciso de almon Castelo _Penheiros Nestl Retro Maria almon Padre De Vime Curina @Santander	0.0	0.0		24.0	313.0	santander	alcohol cuspido itau imajeans santander	5
49192	985921249254789122	santander	2018-04-16 16:41:58	zikinha BDL	@itau o da pulseira é igual o santander fez ne?	0.0	1.0		449.0	334.0	santander	itau	1
49402	985889043744477184	santander	2018-04-16 14:33:59	Wander Silva	@santander_br eu tenho portabilidade de salario do @itau para voces e até o momento meu salario ainda nao entrou na conta (era para ter entrado as 8h00). Isso aocnteceu devido a intermitencia sistemica de voces? Tem algo que preciso fazer ou é so aguardar que a TED entre?	0.0	0.0		1125.0	113.0	santander	santander_br itau	2
49416	985886949398532096	santander	2018-04-16 14:25:40	SindBancários	SindBancários ingressou, na última semana, com ações coletivas contra os bancos @santander_br, @itau, @BancodoBrasil e Banco Agiplan, o @agibank, pedindo que seja determinada a imediata manutenção das homologações no Sindicato. https://t.co/xU28lNyEqv https://t.co/yZlxH15joT	3.0	6.0		3608.0	655.0	santander	santander_br, itau, bancodobrasil agibank	4
49523	985872757589241856	santander	2018-04-16 13:29:16	gessy ross	Pra que o @santander_br tem twitter se ele n responde uma simples dúvida do seu correntista. Melhor aprender com o @itau a utilizar essa rede social em benefício de quem paga a conta.	0.0	0.0		1287.0	594.0	santander	santander_br itau	2
49742	985849436738871296	santander	2018-04-16 11:56:36	Alex Piano	Obrigado @santander_br pelo internet bank estar fora do ar tanto PF quando PJ! @itau aceito proposta para portabilidade!	0.0	0.0		691.0	827.0	santander	santander_br itau	2
50568	985359948027777024	santander	2018-04-15 03:31:33	Bruno Fucci	@toschi_h @santander_br @itau tenho contas PJ em todos os bancos, e Santander é disparado o pior. Ate a Caixa e o BB publicos sao bem melhores. Pra fazer uma TED no Santander vc tem que fazer gambiarra, pra pagar imposto idem. Nao tem limites, nao muda limites, é uma palhaçada para coisas basicas.	0.0	1.0		545.0	429.0	santander	toschi_h santander_br itau	3
50577	985354135334719489	santander	2018-04-15 03:08:27	Hugo T.	@brunofj @santander_br Já estaria mesmo. Vtnc esse banco. Ainda bem que minha conta é no @itau HAHAHAHHAA	0.0	1.0		591.0	317.0	santander	brunofj santander_br itau	3
50586	985344829902282752	santander	2018-04-15 02:31:28	André Lima TENNIS	@santander_br Então vocês devem ter mais problemas de segurança que @itau, @Caixa e @BancodoBrasil, todas a menos de 500m da sua agência, mas todas funcionando os caixas eletrônicos em horários de bancos normais. Os ladrões só gostam de vocês?	0.0	0.0		1005.0	980.0	santander	santander_br itau, caixa bancodobrasil	4
50991	985213867818184705	santander	2018-04-14 17:51:05	Silvinho	@JuMagalhaesBH @itau Bando Itaú sem condições . Eu te recomendo Santander ai verdadeiro banco que te entende .	0.0	0.0		1616.0	976.0	santander	jumagalhaesbh itau	2
51009	985212295428165632	santander	2018-04-14 17:44:50	Alan Madureir@	#santander  @bancosantander  do que adianda ser van gogh se nao posso nem mexer no meu dinheiro ?  Segunda feira volto para o @itau  uniclass ... duvido na Europa vcs tratarem os clientes assim . Problemas semanalmente !!!????	1.0	1.0		5.0	16.0	santander	bancosantander itau	2
51016	985211503803621376	santander	2018-04-14 17:41:41	Alan Madureir@	O que adianta ser van gogh se vc nao pode mecher no proprio dinheiro .  Segunda feira mudarei de banco! Volto para o Itau uniclass ! @santanderbra @santanderchile @itau  Toda semana o santander fica sem sistema. Duvido na europa esse problema acontecer !	0.0	0.0		5.0	16.0	santander	santanderbra santanderchile itau	3
51202	985193014745288704	santander	2018-04-14 16:28:13	Alberto Filho ?????	@santander_br @itau Internal Server Error...  Acho que o erro está em eu continuar a confiar neste banco. Promessas e promessas. https://t.co/bA5zbPZE0P	0.0	0.0		2248.0	1705.0	santander	santander_br itau	2
51206	985192662314741760	santander	2018-04-14 16:26:49	Alberto Filho ?????	@santander_br   13:24 14/04/2018  E novamente o APP e o Internet Banking Santander não funcionam quando você mais precisa... Novamente. Excelência em atendimento e performance.  Precisando efetuar um pagamento e não poderei.   Fácil solução... Usarei o Internet Banking do @itau!	0.0	1.0		2248.0	1705.0	santander	santander_br itau	2
52136	984806122367471619	santander	2018-04-13 14:50:51	Lanah Canuto	@santander_br Eu já fiz ... ...  do @itau ?? ,  e já foi aprovado  e já chegou  e já desbloqueei ????????	0.0	0.0		74.0	188.0	santander	santander_br itau	2
52432	984616868647505920	santander	2018-04-13 02:18:49	Maykon da Silva	@itau O @santander_br já tem isso a muito tempo. Como sempre o @itau chegando atrasado.	0.0	1.0		45.0	355.0	santander	itau santander_br itau	3
52533	984576199371427846	santander	2018-04-12 23:37:13	sad girl 2001	@taigatondorf @itau Sou cliente do Santander, a minha gerente é mt maravilhosa pelo menos, ela já me entregou meu carão quando abri a minha conta, já desbloquei e usei td na hora	0.0	0.0		991.0	139.0	santander	taigatondorf itau	2
52621	984557121478983680	santander	2018-04-12 22:21:24	??	Além de mentir pra mim na hora de abrir conta, não gostei do app do @santander_br e demoram muito pra responder em redes sociais....   @itau sinto sua falta meu amor... Pode ter certeza que vou voltar!	0.0	0.0		1.0	4.0	santander	santander_br itau	2
52647	984554294920794112	santander	2018-04-12 22:10:10	??	@santander_br Abri a conta ontem e já estou muito brava. Minha empresa me obrigou a trocar de conta... Tinha relacionamento sério com o @itau e a mulher que abriu minha conta na empresa, mentiu pra mim sobre várias coisas.	0.0	0.0		1.0	4.0	santander	santander_br itau	2
52792	984525021409398788	santander	2018-04-12 20:13:51	Alt er love	Programei o pagamento de um boleto e simplesmente não foi debitado. Além de pagar multa, o que me deixa mais p da vida é que vou ter que ir pessoalmente ao Santander para pagar. Obrigada pelos mimos @itau	0.0	0.0		78.0	114.0	santander	itau	1
52857	984509565818626049	santander	2018-04-12 19:12:26	Priss Guerrero	@marcelofs1 @itau @santander_br É outro caso. Não tem nada a ver mesmo.	0.0	0.0		786.0	640.0	santander	marcelofs1 itau santander_br	3
52867	984507139090722816	santander	2018-04-12 19:02:47	Marcelo ? ?????	@prissguerrero1 @itau @santander_br te deixaram em paz porque venderam a lista pro Itaú ?	0.0	0.0		213.0	194.0	santander	prissguerrero1 itau santander_br	3
52868	984506754116521984	santander	2018-04-12 19:01:16	Priss Guerrero	@marcelofs1 @itau @santander_br Não. Situação diferente. E o Satander parou de me encher. Estamos em#paz.	0.0	0.0		786.0	640.0	santander	marcelofs1 itau santander_br	3
