	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
26949	986637424557207552	itau	2018-04-18 16:07:47	VAGAS.com.br	Vagas p/ GERENTE RELACIONAMENTO  EMPRESAS - Itaú Unibanco - Porto Alegre/RS - https://t.co/OskNyMSJ9p	0.0	0.0		18839.0	40.0	itau		0
26950	986637359004471297	itau	2018-04-18 16:07:31	Jessica.	Só de pensar que tenho que ir no Itaú está me dando até um tristeza psicológica pelo simples fato de ir pagar conta, não tirar dinheiro ???	0.0	0.0		520.0	750.0	itau		0
26953	986636913594511362	itau	2018-04-18 16:05:45	Mariana Costa	@projSalvaCao @alesie Mas quando eu vou fazer o depósito eles pedem o número do banco Itaú. Da outra vez eu tentei procurar e não deu certo.	0.0	0.0		302.0	123.0	itau	projsalvacao alesie	2
26955	986636709331984384	itau	2018-04-18 16:04:56	Flora	RT @JacyJuly: Engraçado que pobre anda de transporte público e bicicleta todo dia, mas não tem bicicletas do Itaú fora das zonas mais ricas…	90.0	0.0		769.0	228.0	itau	jacyjuly	1
26956	986636666281578496	itau	2018-04-18 16:04:46	Intelligglass	"Confira o processo de montagem e o resultado da Agência Itaú Personnalité Alphaville. 

Intelliglass (Intelligent Glass) é o vidro inteligente que se transforma do transparente ao opaco (e vice-versa) lhe trazendo... https://t.co/haa8AwHYWv"	0.0	0.0		125.0	371.0	itau		0
26959	986636388606119937	itau	2018-04-18 16:03:40	morenah??	Tô aqui no espaço Itaú esperando só a seção começar	0.0	1.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='97bcdfca1a2dca59', url='https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json', place_type='city', name='Rio de Janeiro', full_name='Rio de Janeiro, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]), attributes={})	64.0	67.0	itau		0
26960	986636381782003712	itau	2018-04-18 16:03:38	LUCIANA DOS SANTOS	@governodobrasil @ReceitaFederal Hahaha. Quem lê isso, pensa que é verdade. Globo, Itaú, Neymar e mais uma pancada tiveram suas dívidas perdoadas, isso quer dizer q sonegaram impostos. Toma vergonha!!!	0.0	0.0		1750.0	1608.0	itau	governodobrasil receitafederal	2
26963	986636204060872704	itau	2018-04-18 16:02:56	Vagas.com.br	Vagas p/ ANL SISTEMAS SR - Arquiteto Enterprise para a comunidad - Itaú Unibanco - São Paulo/SP - https://t.co/kCAUiS3Jkd	0.0	0.0		15120.0	40.0	itau		0
26964	986636175761903616	itau	2018-04-18 16:02:49	VAGAS.com.br	Vagas p/ ANL SISTEMAS SR - Arquiteto Enterprise para a comunidad - Itaú Unibanco - São Paulo/SP - https://t.co/NwuZ93rVX7	0.0	0.0		10026.0	41.0	itau		0
26965	986636158326247426	itau	2018-04-18 16:02:45	VAGAS.com.br	Vagas p/ ATENDENTE COMERCIAL - PCD - Itaú Unibanco - Blumenau/SC - https://t.co/UC122hj1WT	0.0	0.0		6058.0	40.0	itau		0
26966	986635884547190786	itau	2018-04-18 16:01:40	JulietaRossiPedrosa	@radardamidia @gleisi @LulapeloBrasil @ItamaratyGovBr O #absurdo #criminoso advindo do #desespero do #PT é corroborado até por analista econômico do @itau .. https://t.co/jYnMUxcuRB	1.0	2.0		3226.0	840.0	itau	radardamidia gleisi lulapelobrasil itamaratygovbr itau	5
26968	986635635233607680	itau	2018-04-18 16:00:40	escondidinho de trevas	@bracht @_Hyuril_ @mhsousa @ciroargus sim! tem isso, que é massa. mas o gnc do Iguatemi acho melhor que o do PdB. os Cinemarks pra mim o Barra é melhor também, e o melhor mesmo acho o Itaú, que nem o Matt.	0.0	1.0		441.0	301.0	itau	bracht _hyuril_ mhsousa ciroargus	4
26973	986634738512392192	itau	2018-04-18 15:57:07	Projeto SalvaCão	@mari_galo13 @alesie Oi @mari_galo13 , a nossa conta no banco Itaú está na foto abaixo!!! Obrigada por sua doação! https://t.co/bWv2w0ungL	0.0	0.0		8534.0	237.0	itau	mari_galo13 alesie mari_galo13	3
26974	986634657511956481	itau	2018-04-18 15:56:47	vulgo trosha	No vei vo ter que baixar o app do Itaú	0.0	0.0		403.0	1762.0	itau		0
26975	986634644702588928	itau	2018-04-18 15:56:44	VAGAS.com.br	Vagas p/ ATENDENTE COMERCIAL - Itaú Unibanco - São Leopoldo/RS - https://t.co/kdWc97DB1C	0.0	0.0		18839.0	40.0	itau		0
26976	986634401273573382	itau	2018-04-18 15:55:46	Kazuhiro Nishi	I'm at Itaú in Jaboatão dos Guararapes, PE https://t.co/guzOUK2snY	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='bf35d6804909118a', url='https://api.twitter.com/1.1/geo/id/bf35d6804909118a.json', place_type='city', name='Jaboatão dos Guararapes', full_name='Jaboatão dos Guararapes, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-35.09776, -8.242254], [-34.909714, -8.242254], [-34.909714, -8.054913], [-35.09776, -8.054913]]]), attributes={})	180.0	162.0	itau		0
26977	986634238983397384	itau	2018-04-18 15:55:08	Diogo Augusto	? (@ Itaú - @itau in Curitiba, PR) https://t.co/K8ESys3PI8	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='6d5542f8d837770d', url='https://api.twitter.com/1.1/geo/id/6d5542f8d837770d.json', place_type='city', name='Curitiba', full_name='Curitiba, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-49.3916434, -25.6447517], [-49.1852775, -25.6447517], [-49.1852775, -25.3457471], [-49.3916434, -25.3457471]]]), attributes={})	266.0	639.0	itau	itau	1
26980	986634093940105216	itau	2018-04-18 15:54:33	Fernando Guida	RT @FernandoGuida: Inscrições prorrogadas para o Programa Ecomudança Itaú 2018 https://t.co/MWb1xterFU	2.0	0.0		24528.0	23984.0	itau	fernandoguida	1
26981	986633961169473537	itau	2018-04-18 15:54:01	renata	só fala mal do itaú quem nunca precisou lidar com outros bancos caralho	0.0	0.0		986.0	257.0	itau		0
26983	986633743753465856	itau	2018-04-18 15:53:09	Mateus Lacerda	Acabei de sair do curso e estou aqui no Itaú.	0.0	0.0		1764.0	548.0	itau		0
26984	986633577600290817	itau	2018-04-18 15:52:30	Luíza Yamawaki	@imwingerter mano eu quase cai na frente do Itaú, todo mundo ficou olhando p minha cara	0.0	1.0		856.0	961.0	itau	imwingerter	1
26985	986633448445153280	itau	2018-04-18 15:51:59	guilherme custodio	@palmeriodoria @ConversaAfiada Ela vive da Natura ou compra obra de arte do Itaú!!!	0.0	0.0		75.0	312.0	itau	palmeriodoria conversaafiada	2
26986	986633432175448064	itau	2018-04-18 15:51:55	caião porra	Agora eles vao roubar o itaú do largo do machado https://t.co/K7BOvBNlIC	2.0	4.0		78.0	146.0	itau		0
26988	986633334787854336	itau	2018-04-18 15:51:32	RazzleTazzle	Itaú Unibanco – Convite Teleconferência https://t.co/mFOZlR7D4w	0.0	0.0		550.0	216.0	itau		0
26990	986633318203645952	itau	2018-04-18 15:51:28	M.	"@bracht @ciroargus Opa

GNC Cinemas (o do pdb e Iguatemi e alguns outros) não é uma boa rede. Eu particularmente tive sessões horrendas no Iguatemi

O do Barra é bem bacana (Cinemark)

Meu favorito é o espaço itaú, no bourbon country. O Cinespaço Wallig (do bourbon de mesmo nome) é bom também"	0.0	1.0		293.0	192.0	itau	bracht ciroargus	2
26993	986632951474647041	itau	2018-04-18 15:50:01	Princesa de aba reta	@itau Já passou	0.0	0.0		254.0	143.0	itau	itau	1
26998	986632492743581703	itau	2018-04-18 15:48:11	Vulgo Nego Dito ?	Uma raiva é a @NetflixBrasil não aceitar débito em conta e nem cartão de débito Itáu, e quem não tem cartão de crédito faz como pra pagar....	0.0	0.0		413.0	349.0	itau	netflixbrasil	1
27001	986632406705766400	itau	2018-04-18 15:47:51	VAGAS.com.br	Vagas p/ ATENDENTE COMERCIAL - Itaú Unibanco - Porto Alegre/RS - https://t.co/rudUDVLqHc	0.0	0.0		18839.0	40.0	itau		0
27005	986632038223630336	itau	2018-04-18 15:46:23	Divulgador Notícias	Itaú Unibanco - Convite Teleconferência do Resultado do 1º trimestre de 2018 https://t.co/qq0j4KxOZ4	0.0	0.0		1079.0	1.0	itau		0
27006	986632028123779072	itau	2018-04-18 15:46:20	Rosa Lev - Invisible Woman	#OPaísQueEuQuero O ADVOGADO DO BANCO ITAÚ, RODRIGO GAGO NÃO ME ASSEDIA DIARIAMENTE.	0.0	0.0		7780.0	5679.0	itau		0
27013	986631039622832128	itau	2018-04-18 15:42:25	Richard	@itau pra q? vou cancelar meu cartão e fechar minha conta, menos dor de cabeça.	0.0	0.0		2098.0	383.0	itau	itau	1
