	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
26512	986699460435763201	itau	2018-04-18 20:14:18	Valmir Duarte	@governodobrasil @ReceitaFederal Estagiário de plantão. Por favor me responda qual a base legal aplicada para redução da dívida dos impostos devidos pelo Itaú??	0.0	0.0		4.0	55.0	itau	governodobrasil receitafederal	2
26513	986699434443657218	itau	2018-04-18 20:14:11	Rodrigo Emanuel	@itau Entendi. Ok. Grato pela atenção.	0.0	0.0		384.0	404.0	itau	itau	1
26516	986699085905264640	itau	2018-04-18 20:12:48	Vini de Pinho /+/	@itau Dr crédito mesmo pq o atual tá quebrando todo, já já para de funcionar. Putz, deve ter quase 2 meses eu acho	0.0	0.0		1614.0	1109.0	itau	itau	1
26517	986699072563306498	itau	2018-04-18 20:12:45	Andre Maringolo	@itau não é nada pessoal mas eu tenho um sonho: cancelar meu cartão de crédito. Isso pq o @nubank é melhor. Só não o faço obviamente pq sou pobre.	0.0	0.0		73.0	134.0	itau	itau nubank	2
26522	986698327302565889	itau	2018-04-18 20:09:47	Emily Moura	RT @IQ360brasil: Apple Pay finalmente desembarcou no Brasil! Se você tem um iPhone e um cartão de crédito do banco Itaú Unibanco já pode te…	2.0	0.0		9.0	91.0	itau	iq360brasil	1
26524	986698298739261440	itau	2018-04-18 20:09:41	baby	Nossa mãe, tu não é Itaú mas foi feita pra mim viu https://t.co/m3t8lBVEoB	0.0	1.0		916.0	1002.0	itau		0
26525	986698007990231043	itau	2018-04-18 20:08:31	íngrid..	Chegou uma carta do Itaú p mim falando que vão encerrar minha conta , ossada	0.0	0.0		1249.0	374.0	itau		0
26528	986697227400830978	itau	2018-04-18 20:05:25	Rogério	"@itau 
Hoje tomei uma volta por causa de uma falha do sistema de vcs , dinheiro aparece como saldo em conta ,porém quando fui sacar diz q tá insuficiente o saldo.
Quem vai pagar meu prejuízo?
@anderson2black https://t.co/hyb1cw1PDK"	0.0	2.0		16.0	101.0	itau	itau anderson2black	2
26529	986697170953953281	itau	2018-04-18 20:05:12	Procon Carioca	@b_castanheira @itau @ReclameAQUI @JornalOGlobo Olá. Obrigado pela mensagem. Encaminhamos a denúncia para avaliação do nosso setor de fiscalização. Estamos à disposição.	0.0	1.0		7837.0	415.0	itau	b_castanheira itau reclameaqui jornaloglobo	4
26530	986697107414364160	itau	2018-04-18 20:04:57	Rodrigo Emanuel	@itau Apareceu semana passada uma possibilidade de antecipação do IR desse ano. Hoje, pensei em contratar, mas não está mais disponível. :/	0.0	0.0		384.0	404.0	itau	itau	1
