	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
28148	986414472368738304	itau	2018-04-18 01:21:51	Leo	@closenagomez @itau Jamais esquecerei minhas raízes	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='5aaf2499d3a86bb2', url='https://api.twitter.com/1.1/geo/id/5aaf2499d3a86bb2.json', place_type='city', name='Cotia', full_name='Cotia, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-47.084701, -23.804034], [-46.809198, -23.804034], [-46.809198, -23.563827], [-47.084701, -23.563827]]]), attributes={})	3529.0	483.0	itau	closenagomez itau	2
28149	986414430639607809	itau	2018-04-18 01:21:41	Petista Garboso	@GABRlELPlNHElRO Banco Itaú curtiu ?	0.0	0.0		143.0	217.0	itau	gabrlelplnhelro	1
28150	986414337517596672	itau	2018-04-18 01:21:19	Agência Notícia	Relatório do Banco Central mostra que Banco do Brasil, Caixa, Itaú e Bradesco juntos detém mais de três quartos do crédito no país.- https://t.co/74M4qbsJ3R https://t.co/74M4qbsJ3R	0.0	0.0		3934.0	335.0	itau		0
28151	986414083485458433	itau	2018-04-18 01:20:18	Júlio Tubarão	@augustosnunes Gugu, não te vi reclamando do perdão da multa do @itau, da isenção de 1 tri pras petroleiras gringas, do rombo do Meirelles nas contas públicas...teu negócio é só com imóveis?	0.0	1.0		1719.0	1514.0	itau	augustosnunes itau	2
28153	986413779067064320	itau	2018-04-18 01:19:06	Marcelo Graciolli	@itau Pelo jeito ñ né. Estou tentando acessar minha conta desde o momento que publiquei esta mensagem e sempre a mesma mensagem de erro. Pago por uma tarifa para usar bank line que esta sempre fora do ar, para um gerente que ñ responde, p emitir boletos por um sistema péssimo... :(	0.0	0.0		3107.0	245.0	itau	itau	1
28156	986413287968567296	itau	2018-04-18 01:17:09	Lucas Flávio	Hoje eu esqueci a carteira em casa e paguei tudo com o Apple Pay. Parabéns aos envolvidos! @Apple + @itau	0.0	0.0		588.0	561.0	itau	apple itau	2
28159	986413066798665739	itau	2018-04-18 01:16:16	Clara	@leoziuss @itau Seja educado com o CRM, ele não tem culpa	0.0	0.0		329.0	222.0	itau	leoziuss itau	2
28161	986412786694737920	itau	2018-04-18 01:15:09	Amanda R ?	@cahmontemor caso ela ainda não tenha feita, fala pra se inscrever no estágio do itau. deve estar aberta até inscrição de estágio de férias dele (geralmente a pessoa estende estágio depois e pagam bem)	0.0	0.0		958.0	563.0	itau	cahmontemor	1
28170	986411163146735617	itau	2018-04-18 01:08:42	Wallace	@theffcaroline Moscou não morreu, ele volta na segunda temporada com a mulher dele, ai o Denver e a Mônica se casam e ele vai no casamento com a mãe do Denver, ai o professor vai querer roubar o Itaú e a gcm mata ele	0.0	0.0		490.0	146.0	itau	theffcaroline	1
28176	986410635478159362	itau	2018-04-18 01:06:36	Irene LULA Blini	RT @Omar_r47m4ch1n3: @FatosNacionais Especulação da subespeculação e Marielle e Anderson e 30 dias sem respostas e Lula preso e sem respost…	5.0	0.0		423.0	70.0	itau	omar_r47m4ch1n3: fatosnacionais	2
